event_name,catalog,mass1_Msun,mass2_Msun,m1_err_up,m1_err_low,m2_err_up,m2_err_low,distance_Mpc,dist_err_up,dist_err_low,redshift,snr,total_mass,chirp_mass,chi_eff,final_mass
GW190915_235702,GWTC-2.1-confident,32.6,24.5,8.8,-4.9,4.9,-5.8,1750.0,710.0,-650.0,0.32,13.1,57.2,24.4,-0.03,54.7
GW190910_112807,GWTC-2.1-confident,43.8,34.2,7.6,-6.8,6.6,-7.3,1520.0,1090.0,-630.0,0.29,14.5,78.0,33.5,0.0,74.4
GW190828_065509,GWTC-2.1-confident,23.7,10.4,6.8,-6.7,3.8,-2.2,1540.0,690.0,-650.0,0.29,10.2,34.3,13.4,0.05,33.0
GW190828_063405,GWTC-2.1-confident,31.9,25.8,5.4,-4.1,4.9,-5.3,2070.0,650.0,-920.0,0.38,16.5,57.2,24.6,0.15,54.3
GW190805_211137,GWTC-2.1-confident,46.2,30.6,15.4,-11.2,11.8,-11.3,6130.0,3720.0,-3080.0,0.92,8.1,76.7,31.9,0.37,72.4
GW190803_022701,GWTC-2.1-confident,37.7,27.6,9.8,-6.7,7.6,-8.5,3190.0,1630.0,-1470.0,0.54,9.3,65.0,27.6,-0.01,62.1
GW190731_140936,GWTC-2.1-confident,41.8,29.0,12.7,-9.1,10.2,-9.9,3330.0,2350.0,-1770.0,0.56,8.8,70.7,29.7,0.07,67.4
GW190728_064510,GWTC-2.1-confident,12.5,8.0,6.9,-2.3,1.7,-2.6,880.0,260.0,-380.0,0.18,13.1,20.7,8.6,0.13,19.7
GW190727_060333,GWTC-2.1-confident,38.9,30.2,8.9,-6.0,6.5,-8.3,3070.0,1300.0,-1230.0,0.52,11.7,68.8,29.4,0.09,65.4
GW190725_174728,GWTC-2.1-confident,11.8,6.3,10.1,-3.0,2.1,-2.5,1030.0,520.0,-430.0,0.2,9.1,18.3,7.4,-0.04,17.6
GW190720_000836,GWTC-2.1-confident,14.2,7.5,5.6,-3.3,2.2,-1.8,770.0,650.0,-260.0,0.16,10.9,21.8,9.0,0.19,20.8
GW190719_215514,GWTC-2.1-confident,36.6,19.9,42.1,-11.1,10.0,-9.3,3730.0,3120.0,-2070.0,0.61,7.9,57.2,22.8,0.25,54.5
GW190708_232457,GWTC-2.1-confident,19.8,11.6,4.3,-4.3,3.1,-2.0,930.0,310.0,-390.0,0.19,13.4,31.4,13.1,0.05,30.1
GW190707_093326,GWTC-2.1-confident,12.1,7.9,2.6,-2.0,1.6,-1.3,850.0,340.0,-400.0,0.17,13.1,20.1,8.4,-0.04,19.2
GW190706_222641,GWTC-2.1-confident,74.0,39.4,20.1,-16.9,18.4,-15.4,3630.0,2600.0,-2000.0,0.6,13.4,112.6,45.6,0.28,107.3
GW190701_203306,GWTC-2.1-confident,54.1,40.5,12.6,-8.0,8.7,-12.1,2090.0,770.0,-740.0,0.38,11.2,94.3,40.2,-0.08,90.2
GW190630_185205,GWTC-2.1-confident,35.1,24.0,6.5,-5.5,5.5,-5.2,870.0,530.0,-360.0,0.18,16.4,59.4,25.1,0.1,56.6
GW190620_030421,GWTC-2.1-confident,58.0,35.0,19.2,-13.3,13.1,-14.5,2910.0,1710.0,-1320.0,0.5,12.1,92.7,38.1,0.34,88.0
GW190602_175927,GWTC-2.1-confident,71.8,44.8,18.1,-14.6,15.5,-19.6,2840.0,1930.0,-1280.0,0.49,13.2,115.6,48.0,0.12,110.5
GW190527_092055,GWTC-2.1-confident,35.6,22.2,18.7,-8.0,9.0,-8.7,2520.0,2080.0,-1230.0,0.44,8.0,58.1,23.9,0.1,55.5
GW190521_074359,GWTC-2.1-confident,43.4,33.4,5.8,-5.5,5.2,-6.8,1080.0,580.0,-530.0,0.21,25.9,76.3,32.8,0.1,72.6
GW190521,GWTC-2.1-confident,98.4,57.2,33.6,-21.7,27.1,-30.1,3310.0,2790.0,-1800.0,0.56,14.3,153.1,63.3,-0.14,147.4
GW190519_153544,GWTC-2.1-confident,65.1,40.8,10.8,-11.0,11.5,-12.7,2600.0,1720.0,-960.0,0.45,15.9,105.6,44.3,0.33,100.0
GW190517_055101,GWTC-2.1-confident,39.2,24.0,13.9,-9.2,7.4,-7.9,1790.0,1750.0,-880.0,0.33,10.8,64.1,26.5,0.49,60.1
GW190514_065416,GWTC-2.1-confident,40.9,28.4,17.3,-9.3,10.0,-10.1,3890.0,2610.0,-2070.0,0.64,8.0,69.3,29.1,-0.08,66.4
GW190513_205428,GWTC-2.1-confident,36.0,18.3,10.6,-9.7,7.4,-4.7,2210.0,990.0,-810.0,0.4,12.5,54.4,21.8,0.16,52.1
GW190512_180714,GWTC-2.1-confident,23.2,12.5,5.6,-5.6,3.5,-2.6,1460.0,510.0,-590.0,0.28,12.7,35.8,14.6,0.02,34.3
GW190503_185404,GWTC-2.1-confident,41.3,28.3,10.3,-7.7,7.5,-9.2,1520.0,630.0,-600.0,0.29,12.2,69.4,29.3,-0.05,66.5
GW190426_190642,GWTC-2.1-confident,105.5,76.0,45.3,-24.1,26.2,-36.5,4580.0,3400.0,-2280.0,0.73,8.7,182.3,76.0,0.23,172.9
GW190421_213856,GWTC-2.1-confident,42.0,32.0,10.1,-7.4,8.3,-9.8,2590.0,1490.0,-1240.0,0.45,10.7,73.6,31.4,-0.1,70.5
GW190413_134308,GWTC-2.1-confident,51.3,30.4,16.6,-12.6,11.7,-12.7,3800.0,2480.0,-1830.0,0.62,10.6,81.3,33.3,-0.01,78.0
GW190413_052954,GWTC-2.1-confident,33.7,24.2,10.4,-6.4,6.5,-7.0,3320.0,1910.0,-1400.0,0.56,9.0,58.0,24.5,-0.04,55.5
GW190412,GWTC-2.1-confident,27.7,9.0,6.0,-6.0,2.0,-1.4,720.0,240.0,-220.0,0.15,19.8,36.8,13.3,0.21,35.6
GW190408_181802,GWTC-2.1-confident,24.8,18.5,5.4,-3.5,3.3,-4.0,1540.0,440.0,-620.0,0.29,14.6,43.4,18.5,-0.03,41.4
GW190403_051519,GWTC-2.1-confident,85.0,20.0,27.8,-33.0,26.3,-8.4,8280.0,6720.0,-4290.0,1.18,7.6,106.6,34.0,0.68,102.2
GW170823,GWTC-2.1-confident,38.3,29.0,9.5,-6.2,6.5,-7.8,1970.0,840.0,-930.0,0.36,12.2,67.0,28.6,0.05,63.9
GW170818,GWTC-2.1-confident,34.8,27.6,6.5,-4.2,4.1,-5.1,1080.0,430.0,-410.0,0.21,12.0,62.5,26.8,-0.06,59.7
GW170814,GWTC-2.1-confident,30.9,24.9,5.4,-3.3,3.0,-4.0,610.0,160.0,-230.0,0.13,17.7,56.0,24.1,0.08,53.2
GW170809,GWTC-2.1-confident,34.1,24.2,8.0,-5.3,4.8,-5.3,1070.0,310.0,-380.0,0.21,12.8,58.5,24.8,0.07,55.7
GW170729,GWTC-2.1-confident,54.7,30.2,12.7,-12.8,11.9,-10.2,2490.0,1690.0,-1230.0,0.44,10.7,84.4,34.6,0.29,80.3
GW170608,GWTC-2.1-confident,10.6,7.8,4.0,-1.4,1.2,-1.9,340.0,120.0,-130.0,0.07,15.3,18.5,7.9,0.05,17.7
GW170104,GWTC-2.1-confident,28.7,20.8,6.6,-4.2,4.1,-4.7,1110.0,390.0,-480.0,0.22,13.8,49.6,21.1,-0.04,47.5
GW151226,GWTC-2.1-confident,14.2,7.5,11.1,-3.6,2.4,-2.8,460.0,160.0,-200.0,0.1,12.7,21.7,8.9,0.2,20.7
GW151012,GWTC-2.1-confident,24.8,13.6,14.5,-6.3,4.5,-4.9,1000.0,640.0,-490.0,0.2,9.3,38.8,15.6,0.12,37.1
GW150914,GWTC-2.1-confident,34.6,30.0,4.4,-2.6,2.9,-4.6,470.0,140.0,-160.0,0.1,26.0,64.5,27.9,-0.04,61.5
